PharmGKB ID,Literature,Variant,Drug,Class,activity_score,Association,isomeric,phenotype
1451153742,PMID:11270921,*1/*1,(R)-methadone,nor,2,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Normal Metabolizer
1451153742,PMID:11270921,*1/*3,(R)-methadone,nor,1,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Intermediate Metabolizer
1451153742,PMID:11270921,*1/*4,(R)-methadone,nor,1,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Intermediate Metabolizer
1451153742,PMID:11270921,*1/*5,(R)-methadone,nor,1,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Intermediate Metabolizer
1451153742,PMID:11270921,*1/*6,(R)-methadone,nor,1,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Intermediate Metabolizer
1451153742,PMID:11270921,*3/*4,(R)-methadone,f,0,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Poor Metabolizer
1451153742,PMID:11270921,*4/*4,(R)-methadone,f,0,CYP2D6 *4/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Poor Metabolizer
1451153742,PMID:11270921,*4/*6,(R)-methadone,f,0,CYP2D6 *4/*6 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Poor Metabolizer
1451153742,PMID:11270921,*1/*1,(S)-methadone,nor,2,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Normal Metabolizer
1451153742,PMID:11270921,*1/*3,(S)-methadone,nor,1,CYP2D6 *3/*4 are associated with increased concentrations of (R)-methadone and (S)-methadone in people with Heroin Dependence as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*5 + *1/*6 (assigned as normal metabolizer genotype phenotype) .,CCC(=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,CYP2D6 Intermediate Metabolizer
